name	provider	accession	tax_id	annotation	species	other_info
ASM317841v1	NCBI	GCA_003178415.1	333924	True	Human papillomavirus 100	de Villiers E.M., Characterization of Tumorviruses, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld 242, Heidelberg, 69120, GERMANY
ASM317871v1	NCBI	GCA_003178715.1	1175849	True	Human papillomavirus 123	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM318003v1	NCBI	GCA_003180035.1	337051	True	Human papillomavirus 47	na
ASM318045v1	NCBI	GCA_003180455.1	337043	True	Human papillomavirus 57	H. Delius, DEUTSCHES KREBSFORSCHUNGSZENTRUM, ABTEILUNG ATV, IM NEUENHEIMER FELD 280, D 6900 HEIDELBERG
ASM318085v1	NCBI	GCA_003180855.1	334207	True	Human papillomavirus 75	H. Delius, Deutsches Krebsforschungzentrum, Abt. ATV - 0686, Im Neuenheimer Feld 506, 69120 Heidelberg, FRG
ASM314748v1	NCBI	GCA_003147485.1	1851215	True	Human papillomavirus type 190	Department of Pediatrics, Albert Einstein College of Medicine
ASM317761v1	NCBI	GCA_003177615.1	333754	True	Human papillomavirus 74	Microbiology & Immunology, Albert Einstein College of Medicine
ASM317771v1	NCBI	GCA_003177715.1	333767	True	Human papillomavirus 81	de Villiers E.M., Div. Characterization of Tumorviruses, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld 242, Heidelberg, 69120, GERMANY
ASM317843v1	NCBI	GCA_003178435.1	333924	True	Human papillomavirus 104	de Villiers E.M., Characterization of Tumorviruses, Deutsches Krebsforschungszentrum, Im Neuenheimer Feld 242, Heidelberg, 69120, GERMANY
ASM413334v1	NCBI	GCF_004133345.1	2093789	True	Human papillomavirus type 203	Laboratory Medicine, Karolinska Institutet
ASM3111323v1	NCBI	GCA_031113235.1	931244	True	Human papillomavirus 71	School of Medicine, Jiangsu University
ASM3112844v1	NCBI	GCA_031128445.1	337042	True	Human papillomavirus type 68b	Schwarz E., German Cancer Research Center, F030, Im Neuenheimer Feld 280, 69120, GERMANY
ASM3115442v1	NCBI	GCA_031154425.1	337039	True	Human papillomavirus type 78	Contact:Tetsutaro Sata National Institute of Infectious Diseases, Pathology; Toyama 1-23-1, Shinjuku, Tokyo 162-8640, Japan
ASM3111671v1	NCBI	GCA_031116715.1	337043	True	Human papillomavirus type 57b	Phoebe Mounts, Molecular Microbiology & Immunology, Johns Hopkins School of Hygiene & Public Health, 615 N.Wolfe St., Baltimore, MD 21205, USA
ASM3116845v1	NCBI	GCA_031168455.1	2060135	True	Human papillomavirus type 211	Pathology, University of Cape Town
ASM3116850v1	NCBI	GCA_031168505.1	2060136	True	Human papillomavirus type 212	Pathology, University of Cape Town
ASM3117337v1	NCBI	GCA_031173375.1	2200956	True	Human papillomavirus type 219	Pathology, University of Cape Town
ASM3117340v1	NCBI	GCA_031173405.1	2200957	True	Human papillomavirus type 220	Pathology, University of Cape Town
ASM3110911v1	NCBI	GCA_031109115.1	337051	True	Human papillomavirus 36	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM3110965v1	NCBI	GCA_031109655.1	337049	True	Human papillomavirus 73	The Biodesign Center of Fundamental and Applied Microbiomics, Arizona State University
ASM3116264v1	NCBI	GCA_031162645.1	337049	True	Human papillomavirus type 177	Department of Pediatrics, Albert Einstein College of Medicine
ASM3116269v1	NCBI	GCA_031162695.1	1175849	True	Human papillomavirus 186	Department of Pediatrics, Albert Einstein College of Medicine
ASM3116274v1	NCBI	GCA_031162745.1	1175849	True	Human papillomavirus 193	Department of Pediatrics, Albert Einstein College of Medicine
ASM3117346v1	NCBI	GCA_031173465.1	2200959	True	Human papillomavirus type 222	Pathology, University of Cape Town
ASM3132191v1	NCBI	GCA_031321915.1	3003859	True	Human papillomavirus 215	The Biodesign Center of Fundamental and Applied Microbiomics, Arizona State University
ASM3132189v1	NCBI	GCA_031321895.1	3003845	True	Human papillomavirus mSD2	The Biodesign Center of Fundamental and Applied Microbiomics, Arizona State University
ASM3131429v1	NCBI	GCA_031314295.1	2944249	True	Human papillomavirus type 229	Chronic Viral Disease Branch, Centers for Disease Control and Prevention
ViralProj14406	NCBI	GCF_000846285.1	334208	True	Human papillomavirus type 92	NCBI
ViralProj167869	NCBI	GCF_000898255.1	1513262	True	Human papillomavirus 144	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ViralProj17121	NCBI	GCF_000869845.1	1175848	True	Human papillomavirus 101	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ViralProj300230	NCBI	GCF_001430115.1	1513265	True	Human papillomavirus 163	Genetic Department, Peking University Cancer Hospital & Institute
ViralProj376170	NCBI	GCF_002006915.1	1513263	True	Human papillomavirus 156	Microbiologia, Instituto de Biologia Molecular y Celular de Rosario - CONICET
ViralProj167867	NCBI	GCF_000897255.1	1513261	True	Human papillomavirus 137	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ViralProj167865	NCBI	GCF_000898235.1	1513260	True	Human papillomavirus 135	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ViralProj243630	NCBI	GCF_000918095.1	1961681	True	Human papillomavirus 178	Laboratory Medicine, Lund University, Medical Microbiology
ViralProj28737	NCBI	GCF_000874925.1	333931	True	Human papillomavirus type 88	Departement of Medical Microbiology, Institution of Laboratory Medicin
ViralProj76727	NCBI	GCF_000896435.1	1513256	True	Human papillomavirus 126	Contact:Nagayasu Egawa National Cancer Center Institute, Virology Division; 5-1-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan
ViralProj178458	NCBI	GCF_000899515.1	1513264	True	Human papillomavirus 166	Genetic Department, Peking University Cancer Hospital & Institute
ViralProj167866	NCBI	GCF_000899695.1	1513256	True	Human papillomavirus 136	Microbiology and Immunology, Albert Einstein College of Medicine of Yeshiva University
ASM298734v1	NCBI	GCF_002987345.1	337050	True	Human papillomavirus 30	H. Delius, Deutsches Krebsforschungszentrum, Abteilung ATV, Im Neuenheimer Feld 506, W 6900 Heidelberg, FRG
